V005,V012,V021,V023,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3,Total Number of Children,Wealth Index
-0.16251346,0.29318357,0.1279258,-0.11534264,-0.027725155,0.072038606,-0.056087777,-0.030963264,-0.21042685,-0.51228017,-5.0135136,0.044268295,-0.46159315,-0.24625243,-0.31156948,-0.34457752,0.07263447,0.13101493,0.22029966,-0.88799644,-0.26414162,0.017277317
-0.1654343,-0.43823534,0.37344033,-0.22282134,-0.16986361,-0.34704688,-0.40920117,0.066013694,-0.32350963,-1.0293475,-0.09669546,-0.16577406,-0.29088384,0.049834263,0.3624052,-0.11150104,-0.7171772,-0.9560437,0.2906638,-0.034066718,0.21747741,-0.058649734
-0.103343464,0.342354,0.026759306,-0.1607767,-0.03209101,0.14454125,-0.07915806,-0.06860011,-0.17284834,-0.8823014,-0.35170084,-0.12374076,-0.40812066,0.09855375,-0.47620383,-0.02819667,-0.6288313,0.1602879,0.308904,-0.024350997,-0.32647192,-0.022552826
-0.056517407,-0.12217204,-0.20182748,-0.23601206,0.10271768,-0.2970141,-0.41462633,-0.024406468,0.7121404,0.41449744,-0.0069777886,-0.030605454,-0.6754647,-0.006568886,0.09729382,-0.004250361,-0.4942324,-0.97147036,-0.89597297,-0.020371253,-0.572509,-0.10767425
-0.076061234,0.2115219,-0.0538713,0.12647924,-0.41215312,-0.14152864,-0.102128,-0.030245703,-0.00056392787,-0.48799783,-4.8699317,0.026154174,-0.40153557,-0.20305787,-0.35418817,-0.41176152,0.03552144,-0.6501327,0.21587195,-0.81121093,-0.20887557,0.019086082
-0.22003405,-0.14979345,0.36392036,-0.15040523,-0.04645182,-0.21328823,0.066205144,0.012719023,0.59032184,0.19139127,0.30952835,-0.2329731,-0.3470667,0.045441493,0.2800828,0.10924128,-0.47102132,-0.9692511,-0.9413604,0.1094434,-0.38211578,0.073291674
-0.6873461,-0.14005536,-0.036095347,0.06877594,-0.08114456,-0.24649343,-0.25896537,0.06961266,0.524068,-0.4293944,-4.695509,0.03343742,-0.42810726,-0.3138196,0.10210935,-0.41729203,0.0018700318,-0.7567487,0.21016087,-0.84530777,-0.18149208,-0.0875897
-0.07558689,-0.7875732,0.28216022,-0.11422001,-0.030232463,0.078629866,0.0051871343,0.033429384,-0.6204725,-0.49005672,-4.8329372,0.11379444,-0.48599264,-0.3838003,0.22997671,-0.38099042,0.031163998,0.049035918,0.21874632,-0.8561633,-0.2867135,0.025496313
-0.1674499,0.18359378,0.002942359,-0.3372048,-0.030882481,0.054743357,0.16259237,-0.051897064,-0.2833505,-0.4908494,-5.003999,0.06634445,-0.47258213,-0.21117383,-0.31386065,-0.33928737,0.030814359,0.010827027,0.22432773,-0.84339726,-0.2945837,0.01703383
-0.17739846,-0.2316667,-0.016267598,-0.28352806,-0.040387046,-0.12012755,0.046320125,-0.11985049,0.53205925,0.1092874,0.07841276,-0.033896793,-0.46425185,-0.12465627,0.14297995,0.002968287,-0.54810417,-0.9940994,-1.053609,-0.035003647,-0.42805117,0.06503356
-0.023831911,0.32089192,-0.23158617,-0.14343797,0.00022057793,0.11623321,-0.06873435,-0.040322296,-0.24646336,0.28718057,-0.60757625,-0.027036507,-0.431786,0.04718933,-0.3889907,-0.22377679,-0.57363254,0.13550389,-1.1660689,0.06401509,-0.26222774,0.010838017
-0.08139072,0.27639604,-0.060800806,0.06560081,-0.16037355,-0.26787186,-0.51957494,-0.08290011,-0.18201834,0.4275054,-0.28663555,-0.027439214,-0.3264501,0.013746638,-0.25446177,0.076920584,-0.41785192,0.12080246,-1.0231897,-0.024468604,-0.5001703,-0.034212716
-0.452697,-0.43893167,0.12186416,-0.14065944,-0.032591414,-0.09175373,0.10157225,-0.116088286,-0.2869921,0.045520704,-0.3286953,-0.064844035,-0.56166714,-0.22113693,0.13454409,-0.07442196,-0.4325315,0.14957893,-1.0440185,-0.037395377,-0.45686388,0.03362213
-0.25807834,0.27961296,-0.13071042,0.09630149,0.114382945,-0.5412193,-0.32504937,-0.038139638,0.54986477,0.10656309,-0.27037752,-0.0356289,-0.7379406,0.10055424,-0.39626637,-0.01046838,-0.4837086,-0.9955817,-0.9120531,-0.060247503,-0.55146486,-0.0855211
-0.00057834154,-0.16272275,-0.053230878,-0.09748624,0.030404085,0.08530063,-0.033727188,0.090123266,-0.27389082,-0.48667777,-5.0546913,0.039667048,-0.5078125,-0.3086016,0.13595054,-0.32160842,0.07485258,0.0893402,0.21541245,-0.865848,-0.2241167,0.043394964
-0.009928081,-0.6896868,0.26651728,0.106385514,-0.046083357,-0.09984888,-0.2571036,0.033886373,-0.223988,-1.006573,0.49892843,-0.06543977,-0.4060044,0.123303406,0.2924688,-0.15496646,-0.3743439,-0.8871617,0.33283192,-0.5942036,0.36052305,-0.014693718
-0.1182504,0.01948774,-0.30473426,0.11357026,-0.030763343,0.04013349,0.034690905,0.09714837,0.68622214,-0.44561347,-5.0918465,0.036831606,-0.5433235,-0.29563755,0.14798352,-0.50091827,0.07752929,-0.6503141,0.22186546,-0.8298412,-0.17176643,0.03173156
-0.2252776,-0.025003562,-0.2874617,0.038261816,-0.034190733,0.12255227,0.041709393,-0.10188269,-0.17217425,-0.6944778,-0.35849792,-0.31540048,-0.3331936,-0.16291898,0.20048386,-0.03819442,-0.5446428,0.123653434,0.3341844,0.00825372,-0.46282032,0.018522916
-0.03876966,0.240122,-0.19839776,0.08315802,-0.032608766,0.10261474,0.023599714,-0.036402166,-0.63604254,0.12740809,0.34354827,-0.007230591,-0.32252163,0.13962002,-0.44006357,0.057038423,-0.3768536,0.091754064,-1.0346563,-0.019096665,-0.27319095,0.058336355
-0.35315564,-0.8228212,-0.14451356,0.123415254,-0.031121423,-0.083228014,0.06288186,0.03420163,-0.32025635,-0.4878068,-4.8208957,0.035013754,-0.5099344,-0.332505,0.22033356,-0.36171335,-0.021793002,0.15815523,0.2251318,-0.88718987,-0.2494627,0.023785485
-0.3467136,0.34512258,-0.061133787,-0.16014911,-0.031912368,-0.17105131,-0.021242041,-0.035207376,-0.12034651,-0.9458395,-0.31848785,-0.04251851,-0.33821604,0.07799426,-0.35211155,-0.07649554,-0.18895903,0.14790487,0.26953882,-0.045365244,-0.30502766,0.012896427
-0.01175174,0.011971718,0.11729631,-0.059667714,0.08360003,-0.228854,0.037401956,-0.03521025,-0.7779006,-0.8018934,0.03491278,-0.16088666,-0.59544724,-0.14180683,0.16050255,0.08017773,-0.41834185,0.02371791,0.30566543,-0.0797201,-0.46805382,-0.05236726
-0.13992964,0.33931085,-0.2507173,0.04399398,-0.04681559,-0.10807712,0.015168695,-0.12384262,-0.6974427,0.18490349,-0.16735227,-0.031112595,-0.39131632,0.090995245,-0.38580605,0.08767754,-0.47619018,0.0076803197,-1.073672,-0.018015426,-0.5341342,0.037855566
-0.06776904,-0.10958848,-0.11192207,-0.092288285,-0.050198633,0.0740026,0.17131925,-0.034337446,0.66532016,0.26026046,-0.09736485,0.015396267,-0.27217934,0.20073138,-0.4837505,-0.03035946,-0.45710373,-1.0413144,-0.9538921,-0.14336526,-0.32647803,0.008635407
-0.08487462,0.25201377,-0.44180682,0.10479529,0.021779329,-0.0038973782,-0.00517656,0.15300028,-0.37853372,0.2750038,-0.15843406,-0.2781029,-0.48221788,0.08693459,-0.40917966,-0.16566508,-0.50993514,0.1202876,-1.0687963,-0.013081651,-0.45694956,-0.011921521
