V005,V012,V021,V023,V024,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3
0.008917066,-1.1738929,-0.3677,-0.014040801,-0.12570575,-0.06646198,-0.11790555,-0.0726567,0.4376339,0.05630281,-0.7963198,-0.4890888,-0.03398948,-0.7490715,-0.236189,0.3733647,-0.09904388,-0.6461268,-0.9902941,0.20336612,-0.2361782
-0.1144672,-0.058865555,0.2324706,-0.023208274,-0.18038602,-0.07023655,0.2066509,0.09698626,0.0041896435,-0.5720757,-0.9105078,-0.4340313,-0.003656332,-0.3458971,-0.13010691,0.16064101,-0.11715702,-0.41255185,0.14058998,0.22897783,-0.10785311
0.039264005,0.41853088,-0.900697,0.028966278,0.13880377,0.15801421,0.14421673,0.07381852,0.117995694,0.5145509,-0.7354183,-0.0011372287,-0.047379587,-0.23477957,0.24387008,-0.7789279,-0.16202997,-0.32849407,-1.2104497,0.28465012,-0.30431572
0.047896538,-0.017703574,0.06445884,-0.016961446,-0.21636172,0.101580195,-0.11249334,-0.24350603,-0.027113,0.24095367,-0.71115094,-4.612196,-0.03458839,-0.5638331,-0.3600559,0.06146467,-0.4014727,-0.123827025,-0.60133797,0.13645056,-0.73174465
-0.012887509,-0.5039684,-0.767655,0.04215353,0.14438769,0.14455551,-0.087714374,0.06777096,-0.022234721,-0.38098347,0.23588371,0.08178829,-0.055515043,-0.59666884,0.03318253,-0.014521566,0.13602576,-0.4422799,0.11893412,-0.7923902,-0.33415923
-0.26931646,0.41349658,-0.10886008,-0.01170779,-0.24551833,0.14341737,0.13022996,-0.067637525,0.017096095,0.47099814,-0.9036923,0.35297245,-0.005543028,-0.707905,0.14079909,-0.7368985,0.011411571,-0.27873337,-1.0302346,0.15985054,-0.33386582
0.036689684,-0.102468796,-0.073760584,-0.06105303,-0.09919683,-0.049047228,-0.20827739,-0.19775799,-0.09430286,0.3068678,-0.6381427,-4.364039,-0.040838707,-0.4648006,-0.3577924,0.0805434,-0.40159976,-0.14450233,-0.63785154,0.17951906,-0.6695527
-0.087650314,0.3887633,0.24611728,-0.021292146,-0.12267378,-0.06917922,0.013252589,0.044903327,0.0108912755,-0.22564352,-0.61107594,-4.5706153,-0.03484372,-0.59001523,-0.3657025,-0.44718283,-0.40573817,-0.22462443,0.09932957,0.16516657,-0.7607049
-0.12277497,0.39873537,-0.0109106535,-0.020780988,-0.2123415,0.19836669,0.09845435,0.028814318,-0.69945157,-0.32622954,-1.0391276,-0.35624558,-0.041973937,-0.28773382,0.1001663,-0.5582223,0.1345298,-0.35983792,0.14038855,0.10572141,-0.79688287
0.03900854,0.46738926,-0.14005242,0.00985311,-0.124182336,-0.08544108,-0.14504279,0.054968774,-0.19635153,-0.49158084,-0.92275375,-0.005421306,-0.008245246,-0.37558824,0.37112078,-0.63559926,0.06559859,-0.4127361,0.167205,0.23034857,-0.20420538
-0.13341585,0.30371204,-0.057985738,-0.20420592,-0.2055288,-0.025250573,0.21240991,-0.09042789,0.009923807,0.5325491,0.34783015,0.21076766,-0.10527013,-0.26951095,0.28690058,-0.7459122,-0.093113385,-0.4553631,-1.1529095,-1.0464269,-0.09079891
0.10444068,-0.0023505276,0.14525872,-0.016768334,-0.23986834,0.115718596,-0.10627914,-0.09215455,0.09530566,0.33607328,-0.7005853,-4.7862177,-0.026536653,-0.64358395,-0.3547897,0.059591234,-0.39119875,-0.13120401,-0.6123809,0.13703096,-0.7294711
-0.17179689,-0.030007198,-0.23059751,0.006395592,-0.16016914,0.05467035,-0.094893284,0.0025482546,-0.006157298,-0.4065789,-0.75697297,-4.931582,-0.023253607,-0.5848,-0.34067693,0.05972614,-0.41725552,-0.13150115,0.091365606,0.1732409,-0.7973374
0.108689785,-0.7081681,-0.3674027,0.046612833,0.13922404,-0.12507637,-0.16200396,0.07768558,0.14747117,0.44661483,-0.82280433,0.19591591,-0.06412154,-0.38819444,-0.22526388,0.5148283,0.10228719,-0.20440209,-1.1170226,0.26036105,-0.26192302
-0.5191645,-0.9126398,-0.029349437,0.031842243,0.016989037,0.039271355,-0.1369589,-0.06547184,0.33409348,0.28319025,0.1789362,0.13062318,-0.0011769731,-0.7691557,-0.2811537,0.39305174,-0.012350095,-0.2906101,-0.91050094,-1.1079739,-0.3003582
-0.24362807,-1.119868,0.082591034,-0.29463398,-0.25682202,-0.11883064,-0.083153166,0.10829483,0.2948149,0.25045294,-0.55848336,-4.42653,0.0006285256,-0.5381897,-0.44836143,0.39949742,-0.7266694,-0.1053612,-0.6118848,0.1813036,-0.7670311
